2017-04-18 03:52 WorkPeriod                       get_work_period(): INFO     work_period = [0, 4]
2017-04-18 03:52 WorkPeriod                       is_day_of_work_period_valid(): INFO     Expected 'day_of_work' = 7
2017-04-18 03:52 WorkPeriod                       is_day_of_work_period_valid(): INFO      to lie between 0
2017-04-18 03:52 WorkPeriod                       is_day_of_work_period_valid(): INFO      and 6
2017-04-18 03:52 WorkPeriod                       is_day_of_work_period_valid(): INFO     Expected 'day_of_work' = -1
2017-04-18 03:52 WorkPeriod                       is_day_of_work_period_valid(): INFO      to lie between 0
2017-04-18 03:52 WorkPeriod                       is_day_of_work_period_valid(): INFO      and 6
2017-04-18 03:53 root                             setup_logging_defaults(): INFO     Logging initialised from TradeSimulator.
2017-04-18 03:53 __main__                         __init__(): INFO     TradeSimulator: TradeSimulator instantiated
2017-04-18 03:53 __main__                         add_data_sample(): INFO     Declare variables of method scope to initialise Trade instances
2017-04-18 03:53 __main__                         add_data_sample(): INFO     Attempting to add sample data 1
2017-04-18 03:53 Trade                            is_buy_sell_data_valid(): INFO     Validating buy sell data: start
2017-04-18 03:53 Trade                            is_buy_sell_data_valid(): INFO     Validating buy sell data: end
2017-04-18 03:53 Trade                            is_date_valid(): INFO     Validating date: start
2017-04-18 03:53 Trade                            is_date_valid(): INFO     Validating date: end
2017-04-18 03:53 Trade                            is_date_valid(): INFO     Validating date: start
2017-04-18 03:53 Trade                            is_date_valid(): INFO     Validating date: end
2017-04-18 03:53 Trade                            is_date_valid(): INFO     Validating date: start
2017-04-18 03:53 Trade                            is_date_valid(): INFO     Validating date: end
2017-04-18 03:53 WorkPeriod                       get_work_period(): INFO     cls.is_currency_valid(currency) = True
2017-04-18 03:53 WorkPeriod                       get_work_period(): INFO     work_period = [0, 4]
2017-04-18 03:53 __main__                         add_data_sample(): INFO     added sample data 1
2017-04-18 03:53 __main__                         add_data_sample(): INFO     Attempting to add sample data 2
2017-04-18 03:53 Trade                            is_buy_sell_data_valid(): INFO     Validating buy sell data: start
2017-04-18 03:53 Trade                            is_buy_sell_data_valid(): INFO     Validating buy sell data: end
2017-04-18 03:53 Trade                            is_date_valid(): INFO     Validating date: start
2017-04-18 03:53 Trade                            is_date_valid(): INFO     Validating date: end
2017-04-18 03:53 Trade                            is_date_valid(): INFO     Validating date: start
2017-04-18 03:53 Trade                            is_date_valid(): INFO     Validating date: end
2017-04-18 03:53 Trade                            is_date_valid(): INFO     Validating date: start
2017-04-18 03:53 Trade                            is_date_valid(): INFO     Validating date: end
2017-04-18 03:53 WorkPeriod                       get_work_period(): INFO     cls.is_currency_valid(currency) = True
2017-04-18 03:53 WorkPeriod                       get_work_period(): INFO     work_period = [6, 3]
2017-04-18 03:53 __main__                         add_data_sample(): INFO     added sample data 2
2017-04-18 03:53 __main__                         simulate_trading(): INFO     Simulate_trading function started
2017-04-18 03:53 __main__                         simulate_trading(): INFO     Initalise variables before running simulate_trading loop
2017-04-18 03:53 __main__                         simulate_trading(): INFO     Simulate_trading loop started
2017-04-18 03:53 Trade                            generate_random_trade_as_dataframe(): INFO     Generating random trade as dataframe
2017-04-18 03:53 Trade                            generate_random_agreed_fx(): INFO     Attempting random agreed fx generation
2017-04-18 03:53 Trade                            generate_random_agreed_fx(): INFO     Random agreed fx generation succeeded
2017-04-18 03:53 Trade                            generate_random_buy_sell(): INFO     Attempting random buy sell generation
2017-04-18 03:53 Trade                            generate_random_buy_sell(): INFO     Random buy sell generation succeeded
2017-04-18 03:53 Trade                            generate_random_currency(): INFO     Generating random currency
2017-04-18 03:53 Trade                            generate_random_entity(): INFO     Generating random entity
2017-04-18 03:53 Trade                            generate_random_entity(): INFO     Random entity generation succeeded
2017-04-18 03:53 Trade                            generate_random_price_per_unit(): INFO     Generating random price per unit
2017-04-18 03:53 Trade                            generate_random_price_per_unit(): INFO     Random price per unit generation succeeded
2017-04-18 03:53 Trade                            generate_random_instruction_settlement_dates(): INFO     Generating random instruction and settlement dates
2017-04-18 03:53 Trade                            generate_random_instruction_settlement_dates(): INFO     type(random_instruction_date_date) = <class 'datetime.date'>
2017-04-18 03:53 Trade                            generate_random_instruction_settlement_dates(): INFO     type(random_settlement_date_date) = <class 'datetime.date'>
2017-04-18 03:53 Trade                            generate_random_instruction_settlement_dates(): INFO     Random instruction and settlement dates generation succeeded
2017-04-18 03:53 Trade                            generate_random_unit(): INFO     Generating random unit.
2017-04-18 03:53 Trade                            generate_random_unit(): INFO     Random unit generation succeeded
2017-04-18 03:53 Trade                            is_date_valid(): INFO     Validating date: start
2017-04-18 03:53 Trade                            is_date_valid(): INFO     Validating date: end
2017-04-18 03:53 WorkPeriod                       get_work_period(): INFO     cls.is_currency_valid(currency) = True
2017-04-18 03:53 WorkPeriod                       get_work_period(): INFO     work_period = [0, 4]
2017-04-18 03:53 Trade                            generate_random_trade_as_dataframe(): INFO     Random trade as dataframe generation succeeded
2017-04-18 03:53 Trade                            generate_random_trade_as_dataframe(): INFO     Generating random trade as dataframe
2017-04-18 03:53 Trade                            generate_random_agreed_fx(): INFO     Attempting random agreed fx generation
2017-04-18 03:53 Trade                            generate_random_agreed_fx(): INFO     Random agreed fx generation succeeded
2017-04-18 03:53 Trade                            generate_random_buy_sell(): INFO     Attempting random buy sell generation
2017-04-18 03:53 Trade                            generate_random_buy_sell(): INFO     Random buy sell generation succeeded
2017-04-18 03:53 Trade                            generate_random_currency(): INFO     Generating random currency
2017-04-18 03:53 Trade                            generate_random_entity(): INFO     Generating random entity
2017-04-18 03:53 Trade                            generate_random_entity(): INFO     Random entity generation succeeded
2017-04-18 03:53 Trade                            generate_random_price_per_unit(): INFO     Generating random price per unit
2017-04-18 03:53 Trade                            generate_random_price_per_unit(): INFO     Random price per unit generation succeeded
2017-04-18 03:53 Trade                            generate_random_instruction_settlement_dates(): INFO     Generating random instruction and settlement dates
